"Benchmark","Mode","Threads","Samples","Score","Score Error (99.9%)","Unit","Param: batchSize","Param: forceSafe","Param: intKey","Param: metaSync","Param: num","Param: sequential","Param: sync","Param: valRandom","Param: valSize","Param: writeMap"
"org.lmdbjava.bench.RocksDb.readRev","sample",1,13,1006.955599,124.855856,"ms/op",,,true,,1000000,true,,false,100,
"org.lmdbjava.bench.RocksDb.readRev","sample",1,11,1103.673903,197.171704,"ms/op",,,true,,1000000,false,,false,100,
"org.lmdbjava.bench.RocksDb.readRev","sample",1,14,912.710510,129.188945,"ms/op",,,false,,1000000,true,,false,100,
"org.lmdbjava.bench.RocksDb.readRev","sample",1,9,1090.402532,157.599961,"ms/op",,,false,,1000000,false,,false,100,
"org.lmdbjava.bench.RocksDb.readSeq","sample",1,39,268.879084,24.436750,"ms/op",,,true,,1000000,true,,false,100,
"org.lmdbjava.bench.RocksDb.readSeq","sample",1,31,341.226925,35.642653,"ms/op",,,true,,1000000,false,,false,100,
"org.lmdbjava.bench.RocksDb.readSeq","sample",1,69,141.776213,10.796178,"ms/op",,,false,,1000000,true,,false,100,
"org.lmdbjava.bench.RocksDb.readSeq","sample",1,31,345.353579,39.910640,"ms/op",,,false,,1000000,false,,false,100,
"org.lmdbjava.bench.RocksDb.readXxh64","sample",1,32,344.866816,26.527991,"ms/op",,,true,,1000000,true,,false,100,
"org.lmdbjava.bench.RocksDb.readXxh64","sample",1,25,443.442790,50.954430,"ms/op",,,true,,1000000,false,,false,100,
"org.lmdbjava.bench.RocksDb.readXxh64","sample",1,42,235.211825,18.286881,"ms/op",,,false,,1000000,true,,false,100,
"org.lmdbjava.bench.RocksDb.readXxh64","sample",1,24,446.125397,49.963055,"ms/op",,,false,,1000000,false,,false,100,
"org.lmdbjava.bench.RocksDb.write","sample",1,9,1800.754517,239.426824,"ms/op",1000000,,true,,1000000,true,,false,100,
"org.lmdbjava.bench.RocksDb.write","sample",1,9,1850.853148,261.902883,"ms/op",1000000,,true,,1000000,false,,false,100,
"org.lmdbjava.bench.RocksDb.write","sample",1,18,784.334848,67.893052,"ms/op",1000000,,false,,1000000,true,,false,100,
"org.lmdbjava.bench.RocksDb.write","sample",1,9,2086.200206,166.650433,"ms/op",1000000,,false,,1000000,false,,false,100,
"org.lmdbjava.bench.Xodus.readCrc","sample",1,9,1224.037717,183.373214,"ms/op",,,true,,1000000,true,,false,100,
"org.lmdbjava.bench.Xodus.readCrc","sample",1,9,1383.887303,164.961982,"ms/op",,,true,,1000000,false,,false,100,
